     100 files     200 files     210 text files.
classified 207 filesDuplicate file check 207 files (190 known unique)Unique:      100 files                                               207 unique files.                              
Counting:  100Counting:  200      25 files ignored.

github.com/AlDanial/cloc v 1.90  T=0.11 s (1797.7 files/s, 234771.5 lines/s)
--------------------------------------------------------------------------------------
File                                               blank        comment           code
--------------------------------------------------------------------------------------
./include/if.h                                         3             60             15
./include/param.h                                      3              0             15
./kernel/swtch.S                                       4             10             15
./lib/ulib/inet.h                                      5              4             15
./toolchain-i386.cmake                                12              6             15
./kernel/net/CMakeLists.txt                            2              0             14
./user/div0/div0.c                                     1              0             14
./user/ln/ln.c                                         1              0             14
./.idea/misc.xml                                       0              0             13
./kernel/pmm.c                                         3              3             13
./spinp                                                3              0             13
./tools/sign.pl                                        6              0             13
./.vscode/settings.json                                0              0             12
./include/stat.h                                       2              0             12
./include/asm.h                                        3              5             11
./include/date.h                                       1              0             11
./kernel/picirq.c                                      3              5             11
./user/echo/echo.c                                     3              0             11
./user/zombie/zombie.c                                 2              2             10
./include/spinlock.h                                   3              3              9
./.idea/modules.xml                                    0              0              8
./include/memory.h                                     4              3              8
./include/sleeplock.h                                  3              2              8
./kernel/signal.S                                      2              2              8
./printpcs                                             3              3              8
./include/console.h                                    3              3              7
./.idea/vcs.xml                                        0              0              6
./tools/CMakeLists.txt                                 3              0              6
./include/fcntl.h                                      3              0              5
./.dir-locals.el                                       0              0              4
./kernel/lib/CMakeLists.txt                            2              0              4
./kernel/net/drivers/CMakeLists.txt                    2              0              4
./lib/CMakeLists.txt                                   1              0              3
./.idea/xv6_enhanced.iml                               0              0              2
./include/virtio_nic.h                                 2              3              2
./show1                                                1              0              2
./kernel/vfs.c                                         0              3              1
--------------------------------------------------------------------------------------
SUM:                                                2999           1873          19941
--------------------------------------------------------------------------------------
